,Context,Reply
10,"Friend (Priyanka): I felt really bad reading that message.. but am over it now
I'm not angry at anyone though
I would have told her myself eventually

Meghana: I know,Chinnu told me
Don’t worry about what she said
That’s how she talks to everyone these days
Even when she talks to me,like one ammachi she acts
Whenever I joke and say that I’ll find people at Cisco,the way she acts😵

Friend (Priyanka): I thought she voiced all your collective opinion, because it sounded so mature
It's ok let it go

Meghana: That’s how she talks in general these days

Friend (Priyanka): Hmm

","Also, don’t worry  I am actually for you guys now,was telling Chinnu and Swati also the other day
If you think he is the one then that should be it, it’s what you feel that matters
What veliyachan and Veliyamma are saying are things that any parent would tell their kids
"
11,"Friend (Priyanka): I thought she voiced all your collective opinion, because it sounded so mature
It's ok let it go

Meghana: That’s how she talks in general these days

Friend (Priyanka): Hmm

Meghana: Also, don’t worry  I am actually for you guys now,was telling Chinnu and Swati also the other day
If you think he is the one then that should be it, it’s what you feel that matters
What veliyachan and Veliyamma are saying are things that any parent would tell their kids

Friend (Priyanka): It's ok for you to have your opinion da.. I patiently listened to what you guys had to say
Ya
We need to first figure out a way to settle down well

","All that eventually happen I guess
He is preparing for IELTS right?
Or you can come back to India after you repay the loan
"
12,"Friend (Priyanka): Hmm

Meghana: Also, don’t worry  I am actually for you guys now,was telling Chinnu and Swati also the other day
If you think he is the one then that should be it, it’s what you feel that matters
What veliyachan and Veliyamma are saying are things that any parent would tell their kids

Friend (Priyanka): It's ok for you to have your opinion da.. I patiently listened to what you guys had to say
Ya
We need to first figure out a way to settle down well

Meghana: All that eventually happen I guess
He is preparing for IELTS right?
Or you can come back to India after you repay the loan

Friend (Priyanka): Ya.. either way
You know, he is ready to even pay back the loan with me

","Everything will eventually fall in place when you know there is no other way..You guys can work some way out
Oh shit😲😲that is so sweet 😲
But yeah,now that you guys are together,you guys can work things out together
"
13,"Friend (Priyanka): It's ok for you to have your opinion da.. I patiently listened to what you guys had to say
Ya
We need to first figure out a way to settle down well

Meghana: All that eventually happen I guess
He is preparing for IELTS right?
Or you can come back to India after you repay the loan

Friend (Priyanka): Ya.. either way
You know, he is ready to even pay back the loan with me

Meghana: Everything will eventually fall in place when you know there is no other way..You guys can work some way out
Oh shit😲😲that is so sweet 😲
But yeah,now that you guys are together,you guys can work things out together

Friend (Priyanka): Thanks Meghu.. when someone tells me things will work out, I feel better

","Whatever you guys feel is the best..
If you are planning to come to back to India it’s better if both of you repay and finish it off soon
"
14,"Friend (Priyanka): Ya.. either way
You know, he is ready to even pay back the loan with me

Meghana: Everything will eventually fall in place when you know there is no other way..You guys can work some way out
Oh shit😲😲that is so sweet 😲
But yeah,now that you guys are together,you guys can work things out together

Friend (Priyanka): Thanks Meghu.. when someone tells me things will work out, I feel better

Meghana: Whatever you guys feel is the best..
If you are planning to come to back to India it’s better if both of you repay and finish it off soon

Friend (Priyanka): 5 min.. I'll text you

","Thanks it seems😲
Yeah sure
"
15,"Friend (Priyanka): Thanks Meghu.. when someone tells me things will work out, I feel better

Meghana: Whatever you guys feel is the best..
If you are planning to come to back to India it’s better if both of you repay and finish it off soon

Friend (Priyanka): 5 min.. I'll text you

Meghana: Thanks it seems😲
Yeah sure

Friend (Priyanka): Ya
You reached office?

","Yes yes
I reach by 8But nobody comes until 9"
16,"Friend (Priyanka): 5 min.. I'll text you

Meghana: Thanks it seems😲
Yeah sure

Friend (Priyanka): Ya
You reached office?

Meghana: Yes yes
I reach by 8But nobody comes until 9
Friend (Priyanka): Enjoy the honeymoon period

","Enjoying 🤭🤭
Today is the first pay day for us🤭🤭🤭
"
17,"Friend (Priyanka): Ya
You reached office?

Meghana: Yes yes
I reach by 8But nobody comes until 9
Friend (Priyanka): Enjoy the honeymoon period

Meghana: Enjoying 🤭🤭
Today is the first pay day for us🤭🤭🤭

Friend (Priyanka): Woooaw.. that feel is amazing

","But can’t do anything,have mid term evaluation of project this weekend 😭😭so busy with that
"
18,"Friend (Priyanka): Enjoy the honeymoon period

Meghana: Enjoying 🤭🤭
Today is the first pay day for us🤭🤭🤭

Friend (Priyanka): Woooaw.. that feel is amazing

Meghana: But can’t do anything,have mid term evaluation of project this weekend 😭😭so busy with that

Friend (Priyanka): ‎Missed group video call
‎Missed voice call
‎Missed group video call

","😎😎😎
"
19,"Friend (Priyanka): Woooaw.. that feel is amazing

Meghana: But can’t do anything,have mid term evaluation of project this weekend 😭😭so busy with that

Friend (Priyanka): ‎Missed group video call
‎Missed voice call
‎Missed group video call

Meghana: 😎😎😎

Friend (Priyanka): ‎Missed group video call

","Call again
Was not wearing my top😑
*🤭
"
20,"Friend (Priyanka): ‎Missed group video call
‎Missed voice call
‎Missed group video call

Meghana: 😎😎😎

Friend (Priyanka): ‎Missed group video call

Meghana: Call again
Was not wearing my top😑
*🤭

Friend (Priyanka): Oye
Send me video of auro

","I added you to that album🤔
"
21,"Friend (Priyanka): ‎Missed group video call

Meghana: Call again
Was not wearing my top😑
*🤭

Friend (Priyanka): Oye
Send me video of auro

Meghana: I added you to that album🤔

Friend (Priyanka): ‎Missed group video call

","How come I didn’t see this🤔
Happy Vishu Chinchu ❣️
"
22,"Friend (Priyanka): Oye
Send me video of auro

Meghana: I added you to that album🤔

Friend (Priyanka): ‎Missed group video call

Meghana: How come I didn’t see this🤔
Happy Vishu Chinchu ❣️

Friend (Priyanka): Edi
Velopolum phone edukanam

","Are you up?
Help beku🤭😬
In how many hours approximately can your laptop run deep learning algorithms?
I have these models to run but each one might take around 3 days on mine😵
If I send you the .py will you run them and send me the saved results?
"
23,"Friend (Priyanka): ‎Missed group video call

Meghana: How come I didn’t see this🤔
Happy Vishu Chinchu ❣️

Friend (Priyanka): Edi
Velopolum phone edukanam

Meghana: Are you up?
Help beku🤭😬
In how many hours approximately can your laptop run deep learning algorithms?
I have these models to run but each one might take around 3 days on mine😵
If I send you the .py will you run them and send me the saved results?

Friend (Priyanka): Ya
Send
Which algorithm are you using?
Today I might be a bit held up
By when do you want it

","Mobile net,exception model
No problem,whenever you are free
But it’s really nothing much,just run it in the background no,whenever you get time
I’ll send them
"
24,"Friend (Priyanka): Edi
Velopolum phone edukanam

Meghana: Are you up?
Help beku🤭😬
In how many hours approximately can your laptop run deep learning algorithms?
I have these models to run but each one might take around 3 days on mine😵
If I send you the .py will you run them and send me the saved results?

Friend (Priyanka): Ya
Send
Which algorithm are you using?
Today I might be a bit held up
By when do you want it

Meghana: Mobile net,exception model
No problem,whenever you are free
But it’s really nothing much,just run it in the background no,whenever you get time
I’ll send them

Friend (Priyanka): 👍🏼👍🏼

","But will you download the State Farm dataset?
"
25,"Friend (Priyanka): Ya
Send
Which algorithm are you using?
Today I might be a bit held up
By when do you want it

Meghana: Mobile net,exception model
No problem,whenever you are free
But it’s really nothing much,just run it in the background no,whenever you get time
I’ll send them

Friend (Priyanka): 👍🏼👍🏼

Meghana: But will you download the State Farm dataset?

Friend (Priyanka): Ok
Send the link

","From Kaggle
Will mail
Your mailid?
"
26,"Friend (Priyanka): 👍🏼👍🏼

Meghana: But will you download the State Farm dataset?

Friend (Priyanka): Ok
Send the link

Meghana: From Kaggle
Will mail
Your mailid?

Friend (Priyanka): Does it come under keras?

","Yeah
Keras models
"
27,"Friend (Priyanka): Ok
Send the link

Meghana: From Kaggle
Will mail
Your mailid?

Friend (Priyanka): Does it come under keras?

Meghana: Yeah
Keras models

Friend (Priyanka): Don't have that also?
priyankapavithran1994@gmail.com

","Done,will send them to you
"
28,"Friend (Priyanka): Does it come under keras?

Meghana: Yeah
Keras models

Friend (Priyanka): Don't have that also?
priyankapavithran1994@gmail.com

Meghana: Done,will send them to you

Friend (Priyanka): 👍🏼

","How much time will each model approximately take?
"
29,"Friend (Priyanka): Don't have that also?
priyankapavithran1994@gmail.com

Meghana: Done,will send them to you

Friend (Priyanka): 👍🏼

Meghana: How much time will each model approximately take?

Friend (Priyanka): Depends on your data

","Like I’ve got everything else ready for real time detection but the models
"
30,"Friend (Priyanka): 👍🏼

Meghana: How much time will each model approximately take?

Friend (Priyanka): Depends on your data

Meghana: Like I’ve got everything else ready for real time detection but the models

Friend (Priyanka): But my laptop is comparitivly fast

","Quite a lot🤔
"
31,"Friend (Priyanka): Depends on your data

Meghana: Like I’ve got everything else ready for real time detection but the models

Friend (Priyanka): But my laptop is comparitivly fast

Meghana: Quite a lot🤔

Friend (Priyanka): What's the size?

","A couple of GBs😬
"
32,"Friend (Priyanka): But my laptop is comparitivly fast

Meghana: Quite a lot🤔

Friend (Priyanka): What's the size?

Meghana: A couple of GBs😬

Friend (Priyanka): Ohh

","Images they are
"
33,"Friend (Priyanka): What's the size?

Meghana: A couple of GBs😬

Friend (Priyanka): Ohh

Meghana: Images they are

Friend (Priyanka): I'll leave it running
Hmm

","Yeah,that’s all..just leave it running..will send everything now
"
34,"Friend (Priyanka): Ohh

Meghana: Images they are

Friend (Priyanka): I'll leave it running
Hmm

Meghana: Yeah,that’s all..just leave it running..will send everything now

Friend (Priyanka): Cool

","I’ve sent you the link to the dataset
Will you extract and keep because it might take a while
Will send the model by then
"
35,"Friend (Priyanka): I'll leave it running
Hmm

Meghana: Yeah,that’s all..just leave it running..will send everything now

Friend (Priyanka): Cool

Meghana: I’ve sent you the link to the dataset
Will you extract and keep because it might take a while
Will send the model by then

Friend (Priyanka): Got it

","I’ve sent one model
Did you get it?
"
36,"Friend (Priyanka): Cool

Meghana: I’ve sent you the link to the dataset
Will you extract and keep because it might take a while
Will send the model by then

Friend (Priyanka): Got it

Meghana: I’ve sent one model
Did you get it?

Friend (Priyanka): Ya
Seems like a cool project
Did you write the code yourself?

","This is just transfer learning no🤔
But takes a lot of time to run😭😭
I referred to other projects obviously 🤭
Is the code working fine?
Can you screenshot the outputs also once it’s done?
"
37,"Friend (Priyanka): Got it

Meghana: I’ve sent one model
Did you get it?

Friend (Priyanka): Ya
Seems like a cool project
Did you write the code yourself?

Meghana: This is just transfer learning no🤔
But takes a lot of time to run😭😭
I referred to other projects obviously 🤭
Is the code working fine?
Can you screenshot the outputs also once it’s done?

Friend (Priyanka): Ya
ETA says 3 hrs

","Oh shit, that’s for 1 epoch I think 😲
There are 25 epochs 🤔
"
38,"Friend (Priyanka): Ya
Seems like a cool project
Did you write the code yourself?

Meghana: This is just transfer learning no🤔
But takes a lot of time to run😭😭
I referred to other projects obviously 🤭
Is the code working fine?
Can you screenshot the outputs also once it’s done?

Friend (Priyanka): Ya
ETA says 3 hrs

Meghana: Oh shit, that’s for 1 epoch I think 😲
There are 25 epochs 🤔

Friend (Priyanka): 🙌🏼

","Or is 3 for all?
"
39,"Friend (Priyanka): Ya
ETA says 3 hrs

Meghana: Oh shit, that’s for 1 epoch I think 😲
There are 25 epochs 🤔

Friend (Priyanka): 🙌🏼

Meghana: Or is 3 for all?

Friend (Priyanka): Ya

","How many on 292 done in this epoch?
"
40,"Friend (Priyanka): 🙌🏼

Meghana: Or is 3 for all?

Friend (Priyanka): Ya

Meghana: How many on 292 done in this epoch?

Friend (Priyanka): If my laptop crashes I'll kill you 😛
9

","It won’t, don’t worry 😬
Shit, then it will take approx 2 days 😂😂😵😵😵
But it has GPU right?
"
41,"Friend (Priyanka): Ya

Meghana: How many on 292 done in this epoch?

Friend (Priyanka): If my laptop crashes I'll kill you 😛
9

Meghana: It won’t, don’t worry 😬
Shit, then it will take approx 2 days 😂😂😵😵😵
But it has GPU right?

Friend (Priyanka): Ya
I'm seeing how to change settings

","I tried on google colab, but it kept getting disconnected
Now it’s not using the GPU?
"
42,"Friend (Priyanka): If my laptop crashes I'll kill you 😛
9

Meghana: It won’t, don’t worry 😬
Shit, then it will take approx 2 days 😂😂😵😵😵
But it has GPU right?

Friend (Priyanka): Ya
I'm seeing how to change settings

Meghana: I tried on google colab, but it kept getting disconnected
Now it’s not using the GPU?

Friend (Priyanka): No.. will have to restart computer if i switch
Wait I'll try
Now it's running on gpu

","😍😍
What’s the ETA now?
"
43,"Friend (Priyanka): Ya
I'm seeing how to change settings

Meghana: I tried on google colab, but it kept getting disconnected
Now it’s not using the GPU?

Friend (Priyanka): No.. will have to restart computer if i switch
Wait I'll try
Now it's running on gpu

Meghana: 😍😍
What’s the ETA now?

Friend (Priyanka): Still 3 hrs.. but it's reducing quickly
😂

","🤭🤭🤭
What’s it now?
"
44,"Friend (Priyanka): No.. will have to restart computer if i switch
Wait I'll try
Now it's running on gpu

Meghana: 😍😍
What’s the ETA now?

Friend (Priyanka): Still 3 hrs.. but it's reducing quickly
😂

Meghana: 🤭🤭🤭
What’s it now?

Friend (Priyanka): 2.5 hrs

","Still reducing?
"
45,"Friend (Priyanka): Still 3 hrs.. but it's reducing quickly
😂

Meghana: 🤭🤭🤭
What’s it now?

Friend (Priyanka): 2.5 hrs

Meghana: Still reducing?

Friend (Priyanka): Ok.. how much ever long it takes
Will send you the results

","Thank you Chinchu😘😘🤭
"
46,"Friend (Priyanka): 2.5 hrs

Meghana: Still reducing?

Friend (Priyanka): Ok.. how much ever long it takes
Will send you the results

Meghana: Thank you Chinchu😘😘🤭

Friend (Priyanka): No

","Ayyo😭but at least,is 2.5 now,still better
"
47,"Friend (Priyanka): Ok.. how much ever long it takes
Will send you the results

Meghana: Thank you Chinchu😘😘🤭

Friend (Priyanka): No

Meghana: Ayyo😭but at least,is 2.5 now,still better

Friend (Priyanka): Now 2 hr 20 min
Ok I'll get back to my work
Will keep you updated

","It will reduce more for sure then😍
"
48,"Friend (Priyanka): No

Meghana: Ayyo😭but at least,is 2.5 now,still better

Friend (Priyanka): Now 2 hr 20 min
Ok I'll get back to my work
Will keep you updated

Meghana: It will reduce more for sure then😍

Friend (Priyanka): Ya

","Thenks🤭
"
49,"Friend (Priyanka): Now 2 hr 20 min
Ok I'll get back to my work
Will keep you updated

Meghana: It will reduce more for sure then😍

Friend (Priyanka): Ya

Meghana: Thenks🤭

Friend (Priyanka): 😎

","If your laptop tends to go to the sleep mode when you don’t use it,the algorithm will stop
Happened to me last night😭
So you might have to go to the control panel and make that never
"
50,"Friend (Priyanka): Ya

Meghana: Thenks🤭

Friend (Priyanka): 😎

Meghana: If your laptop tends to go to the sleep mode when you don’t use it,the algorithm will stop
Happened to me last night😭
So you might have to go to the control panel and make that never

Friend (Priyanka): Did that before only
Goodnight 😘

","Good day😘😘love you❤️
"
51,"Friend (Priyanka): 😎

Meghana: If your laptop tends to go to the sleep mode when you don’t use it,the algorithm will stop
Happened to me last night😭
So you might have to go to the control panel and make that never

Friend (Priyanka): Did that before only
Goodnight 😘

Meghana: Good day😘😘love you❤️

Friend (Priyanka): I've been running the code since morning 😅
2 epochs done

","How many done now?
"
52,"Friend (Priyanka): Did that before only
Goodnight 😘

Meghana: Good day😘😘love you❤️

Friend (Priyanka): I've been running the code since morning 😅
2 epochs done

Meghana: How many done now?

Friend (Priyanka): Running since two days
7 epochd

","Why😲
"
53,"Friend (Priyanka): I've been running the code since morning 😅
2 epochs done

Meghana: How many done now?

Friend (Priyanka): Running since two days
7 epochd

Meghana: Why😲

Friend (Priyanka): I had to go to my friend's place for project yesterday
Closed the laptop, does that put it to sleep automatically?
It stopped at 7 epochs
‎Missed video call

","🤭🤭was going to sleep
How about weekend?
"
54,"Friend (Priyanka): Running since two days
7 epochd

Meghana: Why😲

Friend (Priyanka): I had to go to my friend's place for project yesterday
Closed the laptop, does that put it to sleep automatically?
It stopped at 7 epochs
‎Missed video call

Meghana: 🤭🤭was going to sleep
How about weekend?

Friend (Priyanka): Cool
Called you to check if the code is running on your PC

","It’s not running on yours?😲
"
55,"Friend (Priyanka): I had to go to my friend's place for project yesterday
Closed the laptop, does that put it to sleep automatically?
It stopped at 7 epochs
‎Missed video call

Meghana: 🤭🤭was going to sleep
How about weekend?

Friend (Priyanka): Cool
Called you to check if the code is running on your PC

Meghana: It’s not running on yours?😲

Friend (Priyanka): Told you rt

","In mine it is running 🤔
Oh,I thought it worked again after that
It didn’t?
On mine it is running🤔
"
56,"Friend (Priyanka): Cool
Called you to check if the code is running on your PC

Meghana: It’s not running on yours?😲

Friend (Priyanka): Told you rt

Meghana: In mine it is running 🤔
Oh,I thought it worked again after that
It didn’t?
On mine it is running🤔

Friend (Priyanka): I had put it on never for sleep
But just closing it , puts it to sleep I guess
So it stopped
There is no resume also
How many epochs are done in yours?

","Yeah
But I think there is an option to change that
"
57,"Friend (Priyanka): Told you rt

Meghana: In mine it is running 🤔
Oh,I thought it worked again after that
It didn’t?
On mine it is running🤔

Friend (Priyanka): I had put it on never for sleep
But just closing it , puts it to sleep I guess
So it stopped
There is no resume also
How many epochs are done in yours?

Meghana: Yeah
But I think there is an option to change that

Friend (Priyanka): .

","Closing the lid
"
58,"Friend (Priyanka): I had put it on never for sleep
But just closing it , puts it to sleep I guess
So it stopped
There is no resume also
How many epochs are done in yours?

Meghana: Yeah
But I think there is an option to change that

Friend (Priyanka): .

Meghana: Closing the lid

Friend (Priyanka): Ohh

","29 I think
"
59,"Friend (Priyanka): .

Meghana: Closing the lid

Friend (Priyanka): Ohh

Meghana: 29 I think

Friend (Priyanka): You need 25 rt!

","In the code that I sent you it’s 25... in the code that I’m running on my system I’ve kept it to 40
"
60,"Friend (Priyanka): Ohh

Meghana: 29 I think

Friend (Priyanka): You need 25 rt!

Meghana: In the code that I sent you it’s 25... in the code that I’m running on my system I’ve kept it to 40

Friend (Priyanka): 🙏🏼
All the best
You will overfit the data 😂

","But I’ve given early stopping 🤔
Can’t even check with different epochs 😓
"
61,"Friend (Priyanka): You need 25 rt!

Meghana: In the code that I sent you it’s 25... in the code that I’m running on my system I’ve kept it to 40

Friend (Priyanka): 🙏🏼
All the best
You will overfit the data 😂

Meghana: But I’ve given early stopping 🤔
Can’t even check with different epochs 😓

Friend (Priyanka): How do you decide on the number?

","I don’t know for sure how many epochs I need to run
Had seen a couple of notebooks where people ran around 30 n all
"
62,"Friend (Priyanka): 🙏🏼
All the best
You will overfit the data 😂

Meghana: But I’ve given early stopping 🤔
Can’t even check with different epochs 😓

Friend (Priyanka): How do you decide on the number?

Meghana: I don’t know for sure how many epochs I need to run
Had seen a couple of notebooks where people ran around 30 n all

Friend (Priyanka): You should have tried 25
What's the accuracy for 29th

","True 🤔
Wait,will check once
"
63,"Friend (Priyanka): How do you decide on the number?

Meghana: I don’t know for sure how many epochs I need to run
Had seen a couple of notebooks where people ran around 30 n all

Friend (Priyanka): You should have tried 25
What's the accuracy for 29th

Meghana: True 🤔
Wait,will check once

Friend (Priyanka): Tell me tomorrow, go to sleep

","82%
"
64,"Friend (Priyanka): You should have tried 25
What's the accuracy for 29th

Meghana: True 🤔
Wait,will check once

Friend (Priyanka): Tell me tomorrow, go to sleep

Meghana: 82%

Friend (Priyanka): Wow.. good enough
Don't overfit *

","Loss is 0.5, it was 2.8 after the first epoch
"
65,"Friend (Priyanka): Tell me tomorrow, go to sleep

Meghana: 82%

Friend (Priyanka): Wow.. good enough
Don't overfit *

Meghana: Loss is 0.5, it was 2.8 after the first epoch

Friend (Priyanka): Hmm

","Won’t know until this is done😓
"
66,"Friend (Priyanka): Wow.. good enough
Don't overfit *

Meghana: Loss is 0.5, it was 2.8 after the first epoch

Friend (Priyanka): Hmm

Meghana: Won’t know until this is done😓

Friend (Priyanka): When is the submission? 😂

","Oh wait
Actually,there isn’t any overfitting
"
67,"Friend (Priyanka): Hmm

Meghana: Won’t know until this is done😓

Friend (Priyanka): When is the submission? 😂

Meghana: Oh wait
Actually,there isn’t any overfitting

Friend (Priyanka): You will know only when you use test data rt

","I’ve already created a validation set to check that
"
68,"Friend (Priyanka): When is the submission? 😂

Meghana: Oh wait
Actually,there isn’t any overfitting

Friend (Priyanka): You will know only when you use test data rt

Meghana: I’ve already created a validation set to check that

Friend (Priyanka): Cool
Then ok

","But want the loss to decrease further
"
69,"Friend (Priyanka): You will know only when you use test data rt

Meghana: I’ve already created a validation set to check that

Friend (Priyanka): Cool
Then ok

Meghana: But want the loss to decrease further

Friend (Priyanka): Wait for a couple of days 👍🏼

","Don’t think it will decrease much further than this
It is decreasing in very small amounts now
"
70,"Friend (Priyanka): Cool
Then ok

Meghana: But want the loss to decrease further

Friend (Priyanka): Wait for a couple of days 👍🏼

Meghana: Don’t think it will decrease much further than this
It is decreasing in very small amounts now

Friend (Priyanka): Hmm
??

","Nobody knows 😂
We thought it would be next week
But then they haven’t told us anything
No clue when it will be
"
71,"Friend (Priyanka): Wait for a couple of days 👍🏼

Meghana: Don’t think it will decrease much further than this
It is decreasing in very small amounts now

Friend (Priyanka): Hmm
??

Meghana: Nobody knows 😂
We thought it would be next week
But then they haven’t told us anything
No clue when it will be

Friend (Priyanka): 👏🏻👏🏻

","😬
Why?
The college hasn’t taken a decision yet
Even they have no close what to do 🤭
"
72,"Friend (Priyanka): Hmm
??

Meghana: Nobody knows 😂
We thought it would be next week
But then they haven’t told us anything
No clue when it will be

Friend (Priyanka): 👏🏻👏🏻

Meghana: 😬
Why?
The college hasn’t taken a decision yet
Even they have no close what to do 🤭

Friend (Priyanka): Hmm
Our semester is done

","Done with all submissions?
"
73,"Friend (Priyanka): 👏🏻👏🏻

Meghana: 😬
Why?
The college hasn’t taken a decision yet
Even they have no close what to do 🤭

Friend (Priyanka): Hmm
Our semester is done

Meghana: Done with all submissions?

Friend (Priyanka): Ya
3 projects

","I’m actually not feeling sleepy 🤔 we should have just talked.. but we can talk properly over the weekend 🤔🤔
Aye😍😍 congratulations Chinchu
When will the graduation be?
"
74,"Friend (Priyanka): Hmm
Our semester is done

Meghana: Done with all submissions?

Friend (Priyanka): Ya
3 projects

Meghana: I’m actually not feeling sleepy 🤔 we should have just talked.. but we can talk properly over the weekend 🤔🤔
Aye😍😍 congratulations Chinchu
When will the graduation be?

Friend (Priyanka): Supposed to be in August
Hope it's not online

","But then things will be better right 🤔
Online graduation will suck, shit
"
75,"Friend (Priyanka): Ya
3 projects

Meghana: I’m actually not feeling sleepy 🤔 we should have just talked.. but we can talk properly over the weekend 🤔🤔
Aye😍😍 congratulations Chinchu
When will the graduation be?

Friend (Priyanka): Supposed to be in August
Hope it's not online

Meghana: But then things will be better right 🤔
Online graduation will suck, shit

Friend (Priyanka): Hopefully

","Hopefully it won’t be like that
"
76,"Friend (Priyanka): Supposed to be in August
Hope it's not online

Meghana: But then things will be better right 🤔
Online graduation will suck, shit

Friend (Priyanka): Hopefully

Meghana: Hopefully it won’t be like that

Friend (Priyanka): 
Does jc actually have so many hotties now?

","These people are the not so hot ones that too
Oh wait,they are hot😲
But there are way hotter ones
"
77,"Friend (Priyanka): Hopefully

Meghana: Hopefully it won’t be like that

Friend (Priyanka): 
Does jc actually have so many hotties now?

Meghana: These people are the not so hot ones that too
Oh wait,they are hot😲
But there are way hotter ones

Friend (Priyanka): They dance so well
Even velocity group

","Yeah,they are all really talented
The auditions are also kind of tough
"
78,"Friend (Priyanka): 
Does jc actually have so many hotties now?

Meghana: These people are the not so hot ones that too
Oh wait,they are hot😲
But there are way hotter ones

Friend (Priyanka): They dance so well
Even velocity group

Meghana: Yeah,they are all really talented
The auditions are also kind of tough

Friend (Priyanka): Done with the project?

","That one ran
Finished running
But can’t do anything more,as in,won’t run anything more
Did the one I sent you finish running?
If it hasn’t,stop running it actually 🤔be a it’s taking a lot of time
"
